Date,Close,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11
2022-08-29 04:00:00,820.0,-73.30115660730044,-6.131548469211552,30.562399844199156,89.00818112388313,48.32117837732507,-48.64402427275606,-64.68980468967365,67.26780290716235,219.54995586981107,-79.26934606331335,701.8451639690645
2022-08-30 04:00:00,798.25,111.5825121691383,128.1560851295232,81.26160180619762,66.37167354810194,39.99169614188565,-45.831548846618155,-63.98967632215407,65.57432799049799,219.80737125949503,-79.27993179328993,701.8688559384832
2022-08-31 04:00:00,809.0,-69.75103212697482,95.61674152409661,55.914620194247924,32.387423345413445,29.937827658040312,-42.82386027155441,-63.18807154314739,63.87320069039934,220.0635256786718,-79.29048737586959,701.89252096804
2022-09-01 04:00:00,775.5,-164.27000359785376,-78.00741044128512,-15.22088667942703,-5.53176458356504,18.94273277810327,-39.63359824129498,-62.28858921128857,62.16463932971327,220.31842145618853,-79.30101284556665,701.9161590487821
2022-09-02 04:00:00,793.0,171.23795876714445,-259.5108183954395,-82.28986638032181,-39.42825244784535,7.789571354387421,-36.27340244956936,-61.294828185212715,60.448862231287876,220.57206092089154,-79.31150823689542,701.9397701717585
2022-09-06 04:00:00,800.0,-167.65831013000204,-260.11337838497514,-100.64809617429279,-61.34440245643965,-2.7384967607926853,-32.755912590107904,-60.2103873235544,58.726087717970564,220.82444640162734,-79.32197358437027,701.9633543280162
2022-09-07 04:00:00,826.5,158.82927432294568,11.078144288948948,-56.54926951743893,-65.69883813825734,-11.85831171512345,-29.093768356640158,-59.03886548494927,56.99653411260921,221.07558022724248,-79.33240892250639,701.9869115086044
2022-09-08 04:00:00,810.5,-146.18273121043916,282.2655947513241,18.323700878624827,-56.26308024154717,-18.938861716539627,-25.29960944289627,-57.7838615280318,55.26041973805148,221.32546472658336,-79.34281428581701,702.0104417045712
2022-09-09 04:00:00,853.25,126.87865290287682,119.55604066090697,84.49747499536464,-38.576318593462815,-23.957727213967857,-21.386075542605663,-56.44897431143771,53.51796291714517,221.57410222849688,-79.35318970881752,702.0339449069638
2022-09-12 04:00:00,841.25,-99.4799056871918,-241.92833786701667,111.55539314173045,-18.025594960909075,-27.046782644874547,-17.363660421208117,-55.03780269380142,51.769381972738266,221.821495061829,-79.36353522602212,702.0574211068322
